iter	Passed	Remaining
0	101	101779
1	141	70381
2	182	60515
3	218	54521
4	459	91424
5	662	109690
6	795	112783
7	830	103009
8	875	96450
9	992	98264
10	1041	93649
11	1081	89077
12	1127	85576
13	1171	82515
14	1228	80657
15	1283	78905
16	1470	85026
17	1743	95134
18	1871	96621
19	1915	93843
20	1957	91239
21	1993	88627
22	2054	87287
23	2160	87857
24	2202	85906
25	2247	84182
26	2288	82465
27	2327	80812
28	2373	79485
29	2413	78035
30	2508	78414
31	2690	81377
32	2902	85063
33	3045	86534
34	3128	86264
35	3212	86026
36	3252	84664
37	3295	83432
38	3335	82183
39	3373	80975
40	3411	79787
41	3452	78760
42	3579	79673
43	3801	82599
44	4007	85049
45	4076	84544
46	4171	84581
47	4241	84113
48	4283	83138
49	4326	82209
50	4372	81358
51	4415	80506
52	4459	79674
53	4502	78882
54	4758	81757
55	4939	83266
56	5095	84306
57	5146	83586
58	5254	83800
59	5295	82960
60	5336	82139
61	5372	81283
62	5414	80535
63	5457	79819
64	5498	79093
65	5748	81345
66	5994	83476
67	6098	83584
68	6199	83653
69	6264	83229
70	6310	82574
71	6347	81818
72	6398	81258
73	6439	80577
74	6482	79947
75	6521	79284
76	6738	80778
77	6940	82037
78	7096	82734
79	7134	82048
80	7173	81387
81	7296	81686
82	7343	81134
83	7385	80538
84	7430	79990
85	7473	79431
86	7512	78839
87	7590	78663
88	7840	80256
89	8048	81383
90	8128	81193
91	8166	80597
92	8221	80180
93	8337	80358
94	8379	79829
95	8425	79344
96	8467	78827
97	8518	78402
98	8561	77921
99	8600	77401
100	8913	79335
101	9131	80391
102	9195	80085
103	9313	80242
104	9365	79832
105	9417	79426
106	9459	78946
107	9505	78504
108	9549	78064
109	9592	77615
110	9873	79076
111	10092	80017
112	10174	79868
113	10214	79387
114	10273	79059
115	10378	79095
116	10425	78683
117	10465	78228
118	10512	77826
119	10557	77424
120	10599	77003
121	10699	77000
122	10991	78371
123	11187	79034
124	11237	78662
125	11367	78848
126	11406	78410
127	11449	78000
128	11492	77597
129	11546	77271
130	11601	76961
131	11651	76618
132	12039	78481
133	12238	79096
134	12294	78773
135	12409	78833
136	12458	78479
137	12500	78081
138	12546	77715
139	12586	77316
140	12632	76957
141	12775	77190
142	12999	77907
143	13219	78581
144	13266	78226
145	13403	78401
146	13448	78036
147	13487	77646
148	13530	77276
149	13572	76909
150	13616	76559
151	13790	76936
152	13986	77425
153	14201	78014
154	14236	77613
155	14277	77243
156	14392	77281
157	14453	77025
158	14494	76667
159	14543	76351
160	14581	75988
161	14620	75631
162	14660	75280
163	14909	76000
164	15116	76499
165	15235	76543
166	15285	76244
167	15408	76310
168	15467	76056
169	15504	75696
170	15557	75419
171	15597	75087
172	15638	74758
173	15678	74428
174	15726	74139
175	16012	74969
176	16235	75491
177	16313	75335
178	16353	75006
179	16454	74959
180	16520	74754
181	16568	74467
182	16613	74170
183	16659	73882
184	16698	73562
185	16741	73267
186	16780	72955
187	16985	73361
188	17184	73739
189	17362	74019
190	17398	73693
191	17431	73356
192	17562	73435
193	17616	73189
194	17658	72899
195	17702	72615
196	17746	72336
197	17785	72039
198	17917	72119
199	18140	72563
200	18350	72947
201	18405	72712
202	18515	72692
203	18575	72481
204	18616	72197
205	18664	71939
206	18709	71674
207	18751	71398
208	18790	71116
209	19051	71669
210	19263	72034
211	19373	72012
212	19413	71730
213	19460	71475
214	19582	71499
215	19622	71224
216	19661	70946
217	19707	70695
218	19746	70419
219	19796	70186
220	19985	70446
221	20234	70910
222	20396	71066
223	20438	70804
224	20568	70846
225	20611	70589
226	20654	70332
227	20698	70082
228	20737	69820
229	20780	69568
230	20878	69504
231	21156	70034
232	21370	70347
233	21423	70130
234	21546	70139
235	21594	69908
236	21644	69681
237	21684	69426
238	21734	69205
239	21783	68980
240	22289	70198
241	22385	70115
242	22480	70031
243	22553	69880
244	22598	69640
245	22639	69391
246	22683	69152
247	22728	68918
248	22783	68717
249	22961	68883
250	23157	69102
251	23392	69435
252	23433	69190
253	23477	68954
254	23601	68953
255	23647	68726
256	23688	68483
257	23732	68253
258	23770	68008
259	23812	67773
260	23850	67530
261	24093	67867
262	24327	68172
263	24433	68118
264	24466	67860
265	24510	67635
266	24635	67631
267	24680	67409
268	24719	67173
269	24760	66944
270	24800	66715
271	24843	66493
272	24887	66275
273	25181	66721
274	25382	66918
275	25468	66808
276	25508	66580
277	25592	66465
278	25678	66359
279	25725	66150
280	25770	65940
281	25820	65742
282	25864	65530
283	25907	65316
284	25954	65114
285	26086	65124
286	26352	65468
287	26539	65612
288	26587	65411
289	26673	65302
290	26763	65207
291	26812	65010
292	26858	64808
293	26900	64596
294	26946	64398
295	26989	64191
296	27205	64394
297	27395	64536
298	27579	64660
299	27660	64540
300	27755	64455
301	27801	64256
302	27843	64050
303	27885	63843
304	27926	63634
305	27972	63441
306	28177	63604
307	28386	63777
308	28549	63843
309	28585	63626
310	28628	63424
311	28753	63404
312	28809	63233
313	28852	63034
314	28902	62851
315	28944	62651
316	28987	62456
317	29208	62641
318	29377	62714
319	29569	62835
320	29629	62673
321	29755	62653
322	29802	62464
323	29841	62261
324	29886	62072
325	29924	61869
326	29968	61679
327	30119	61707
328	30332	61863
329	30525	61976
330	30583	61814
331	30616	61602
332	30693	61478
333	30785	61386
334	30826	61192
335	30869	61004
336	30908	60807
337	30951	60620
338	30995	60437
339	31039	60253
340	31280	60451
341	31457	60524
342	31616	60560
343	31653	60362
344	31691	60167
345	31810	60128
346	31858	59953
347	31901	59769
348	31947	59592
349	31991	59413
350	32031	59226
351	32089	59073
352	32590	59733
353	32676	59630
354	32718	59445
355	32825	59381
356	32893	59244
357	32937	59066
358	32984	58894
359	33026	58713
360	33071	58538
361	33115	58363
362	33161	58192
363	33413	58381
364	33661	58561
365	33754	58470
366	33858	58398
367	33921	58257
368	33968	58086
369	34007	57904
370	34053	57735
371	34094	57556
372	34134	57378
373	34181	57212
374	34393	57322
375	34635	57480
376	34768	57455
377	34804	57270
378	34842	57089
379	34975	57065
380	35021	56899
381	35068	56734
382	35109	56560
383	35158	56400
384	35200	56229
385	35405	56317
386	35601	56391
387	35779	56436
388	35815	56255
389	35858	56085
390	35977	56036
391	36041	55901
392	36083	55731
393	36127	55565
394	36172	55403
395	36217	55240
396	36257	55071
397	36405	55065
398	36633	55180
399	36813	55220
400	36870	55075
401	36905	54898
402	36950	54738
403	37063	54678
404	37101	54506
405	37142	54341
406	37188	54183
407	37227	54016
408	37265	53848
409	37307	53686
410	37494	53733
411	37695	53798
412	37900	53868
413	37941	53704
414	38063	53655
415	38102	53489
416	38142	53325
417	38188	53172
418	38231	53013
419	38274	52855
420	38343	52734
421	38637	52920
422	38818	52951
423	38906	52853
424	39024	52798
425	39082	52661
426	39129	52509
427	39173	52353
428	39220	52201
429	39263	52047
430	39309	51895
431	39516	51957
432	39727	52021
433	39908	52045
434	39966	51910
435	40083	51851
436	40125	51694
437	40165	51536
438	40209	51383
439	40258	51238
440	40310	51095
441	40347	50936
442	40670	51136
443	40869	51178
444	40941	51062
445	41068	51012
446	41118	50869
447	41161	50717
448	41208	50569
449	41252	50419
450	41296	50269
451	41340	50120
452	41523	50139
453	41743	50202
454	41928	50222
455	41968	50067
456	42010	49916
457	42124	49850
458	42191	49728
459	42248	49595
460	42301	49458
461	42355	49323
462	42401	49178
463	42677	49300
464	43044	49524
465	43141	49437
466	43224	49333
467	43278	49196
468	43330	49058
469	43388	48926
470	43433	48781
471	43470	48628
472	43510	48478
473	43549	48327
474	43586	48174
475	43622	48020
476	43657	47868
477	43694	47717
478	43731	47566
479	43768	47415
480	43802	47262
481	43843	47117
482	43881	46969
483	43919	46823
484	43953	46672
485	43997	46532
486	44034	46385
487	44073	46240
488	44108	46093
489	44149	45951
490	44187	45807
491	44219	45657
492	44256	45512
493	44301	45377
494	44346	45242
495	44389	45105
496	44428	44964
497	44466	44823
498	44503	44681
499	44542	44542
500	44581	44403
501	44633	44277
502	44668	44136
503	44705	43995
504	44749	43863
505	44788	43726
506	44833	43595
507	44872	43458
508	44912	43324
509	44948	43185
510	44983	43047
511	45023	42912
512	45060	42776
513	45094	42638
514	45132	42503
515	45167	42366
516	45204	42231
517	45240	42096
518	45280	41965
519	45316	41830
520	45352	41696
521	45388	41562
522	45427	41431
523	45469	41304
524	45511	41177
525	45548	41045
526	45581	40911
527	45620	40781
528	45657	40651
529	45715	40540
530	45844	40491
531	45884	40364
532	45938	40250
533	46018	40158
534	46065	40037
535	46105	39912
536	46145	39786
537	46375	39824
538	46578	39837
539	46736	39812
540	46782	39691
541	46843	39583
542	46953	39517
543	46999	39396
544	47045	39276
545	47084	39151
546	47131	39032
547	47175	38910
548	47344	38893
549	47411	38791
550	47449	38665
551	47627	38654
552	47836	38666
553	47898	38561
554	48038	38517
555	48087	38401
556	48134	38282
557	48178	38163
558	48223	38044
559	48265	37922
560	48546	37988
561	48837	38061
562	48884	37944
563	49003	37881
564	49045	37760
565	49089	37641
566	49132	37521
567	49182	37406
568	49224	37286
569	49323	37209
570	49657	37308
571	49837	37290
572	49877	37169
573	49991	37101
574	50034	36981
575	50085	36868
576	50121	36744
577	50168	36628
578	50210	36509
579	50255	36391
580	50564	36465
581	50786	36475
582	50853	36373
583	50985	36318
584	51030	36200
585	51077	36085
586	51116	35964
587	51152	35841
588	51197	35725
589	51240	35607
590	51278	35486
591	51541	35521
592	51790	35546
593	51880	35460
594	51964	35370
595	52049	35281
596	52119	35182
597	52163	35066
598	52209	34951
599	52259	34839
600	52304	34724
601	52571	34756
602	52794	34758
603	52909	34688
604	52950	34571
605	53029	34477
606	53123	34394
607	53165	34277
608	53212	34164
609	53255	34048
610	53297	33932
611	53339	33816
612	53382	33701
613	53540	33658
614	53796	33677
615	53975	33646
616	54013	33528
617	54046	33407
618	54179	33347
619	54223	33233
620	54267	33119
621	54322	33012
622	54373	32903
623	54642	32925
624	54932	32959
625	55026	32875
626	55149	32808
627	55204	32700
628	55250	32588
629	55295	32475
630	55343	32364
631	55393	32254
632	55435	32140
633	55650	32126
634	55918	32142
635	56048	32078
636	56142	31993
637	56227	31903
638	56271	31790
639	56310	31674
640	56356	31562
641	56398	31449
642	56442	31337
643	56486	31225
644	56826	31276
645	57041	31258
646	57086	31146
647	57129	31033
648	57207	30939
649	57296	30851
650	57341	30740
651	57382	30627
652	57424	30515
653	57464	30401
654	57512	30292
655	57561	30184
656	57805	30178
657	57990	30141
658	58137	30083
659	58177	29970
660	58239	29868
661	58353	29793
662	58395	29682
663	58442	29573
664	58490	29464
665	58533	29354
666	58575	29244
667	58653	29151
668	58944	29163
669	59156	29136
670	59215	29033
671	59345	28966
672	59385	28854
673	59431	28745
674	59478	28637
675	59527	28531
676	59568	28420
677	59717	28361
678	59977	28354
679	60159	28310
680	60198	28198
681	60332	28131
682	60377	28022
683	60415	27911
684	60457	27801
685	60504	27694
686	60543	27583
687	60703	27528
688	60913	27494
689	61087	27445
690	61190	27363
691	61287	27278
692	61368	27186
693	61414	27078
694	61463	26973
695	61513	26867
696	61556	26759
697	61601	26652
698	61640	26543
699	61982	26563
700	62172	26518
701	62238	26420
702	62369	26349
703	62418	26244
704	62459	26135
705	62507	26029
706	62547	25921
707	62587	25813
708	62628	25705
709	62677	25600
710	63002	25608
711	63258	25587
712	63347	25498
713	63440	25411
714	63484	25305
715	63524	25196
716	63564	25088
717	63608	24982
718	63653	24876
719	63699	24771
720	63885	24721
721	64075	24671
722	64283	24628
723	64315	24517
724	64360	24412
725	64496	24341
726	64543	24236
727	64597	24135
728	64652	24033
729	64705	23932
730	64756	23829
731	65112	23839
732	65326	23795
733	65371	23690
734	65498	23615
735	65542	23509
736	65584	23404
737	65626	23298
738	65671	23193
739	65715	23089
740	65946	23050
741	66179	23011
742	66329	22943
743	66438	22860
744	66513	22766
745	66551	22659
746	66599	22556
747	66644	22452
748	66688	22348
749	66727	22242
750	66770	22138
751	67043	22110
752	67249	22059
753	67350	21973
754	67382	21865
755	67428	21762
756	67546	21682
757	67590	21578
758	67634	21475
759	67675	21371
760	67722	21268
761	67760	21163
762	67932	21100
763	68114	21040
764	68288	20977
765	68396	20893
766	68495	20807
767	68580	20717
768	68625	20614
769	68669	20511
770	68717	20410
771	68756	20306
772	68796	20202
773	68987	20143
774	69220	20096
775	69395	20031
776	69447	19931
777	69565	19850
778	69607	19747
779	69650	19644
780	69701	19544
781	69746	19443
782	69794	19342
783	69993	19283
784	70191	19224
785	70370	19159
786	70421	19059
787	70543	18978
788	70592	18878
789	70637	18777
790	70675	18674
791	70714	18571
792	70759	18470
793	70802	18369
794	71059	18323
795	71263	18263
796	71376	18180
797	71421	18079
798	71514	17990
799	71596	17899
800	71634	17796
801	71683	17697
802	71726	17596
803	71766	17495
804	71811	17395
805	71855	17295
806	72054	17232
807	72287	17177
808	72452	17105
809	72518	17010
810	72626	16925
811	72674	16826
812	72725	16727
813	72770	16628
814	72816	16528
815	72856	16428
816	72932	16336
817	73188	16284
818	73415	16225
819	73497	16133
820	73585	16043
821	73650	15948
822	73695	15849
823	73738	15750
824	73788	15652
825	73834	15553
826	73879	15454
827	73921	15355
828	74123	15289
829	74326	15223
830	74510	15153
831	74597	15063
832	74691	14974
833	74743	14877
834	74800	14780
835	74857	14684
836	74904	14587
837	74965	14492
838	75261	14442
839	75483	14377
840	75559	14285
841	75672	14199
842	75729	14103
843	75773	14005
844	75814	13906
845	75861	13809
846	75906	13711
847	75952	13614
848	75997	13516
849	76261	13457
850	76467	13388
851	76583	13303
852	76623	13204
853	76742	13119
854	76800	13024
855	76846	12927
856	76887	12829
857	76935	12732
858	76974	12634
859	77019	12538
860	77212	12465
861	77422	12394
862	77607	12320
863	77642	12221
864	77680	12123
865	77797	12037
866	77854	11943
867	77892	11845
868	77935	11748
869	77972	11651
870	78013	11554
871	78189	11477
872	78405	11406
873	78603	11331
874	78653	11236
875	78786	11152
876	78825	11055
877	78869	10959
878	78910	10862
879	78956	10766
880	79002	10671
881	79215	10598
882	79416	10522
883	79592	10444
884	79630	10347
885	79667	10250
886	79775	10163
887	79833	10069
888	79874	9973
889	79921	9877
890	79964	9782
891	80009	9687
892	80049	9591
893	80147	9502
894	80434	9436
895	80619	9357
896	80680	9264
897	80717	9168
898	80857	9084
899	80897	8988
900	80942	8893
901	80983	8798
902	81033	8704
903	81073	8609
904	81117	8515
905	81225	8427
906	81495	8356
907	81687	8276
908	81761	8185
909	81890	8099
910	81940	8005
911	81982	7910
912	82025	7816
913	82067	7721
914	82114	7628
915	82160	7534
916	82199	7440
917	82467	7366
918	82714	7290
919	82801	7200
920	82846	7106
921	82934	7016
922	83027	6926
923	83079	6833
924	83135	6740
925	83177	6647
926	83225	6553
927	83267	6460
928	83394	6373
929	83628	6294
930	83821	6212
931	83895	6121
932	83933	6027
933	84050	5939
934	84116	5847
935	84162	5754
936	84205	5661
937	84250	5568
938	84292	5475
939	84393	5386
940	84619	5305
941	84828	5222
942	84916	5132
943	85034	5044
944	85107	4953
945	85156	4860
946	85206	4768
947	85261	4676
948	85313	4584
949	85356	4492
950	85671	4414
951	85891	4330
952	85947	4238
953	85986	4146
954	86095	4056
955	86154	3965
